name,category,my_price,image_url,volume_points
Formula 1 Nutritional Shake Mix - French Vanilla (500g),Meal Replacement,1550,,30
Formula 1 Nutritional Shake Mix - Chocolate (500g),Meal Replacement,2050,,30
Formula 1 Nutritional Shake Mix - Strawberry (500g),Meal Replacement,2050,,30
Formula 1 Nutritional Shake Mix - Mango (500g),Meal Replacement,2050,,30
Formula 1 Nutritional Shake Mix - Kulfi (500g),Meal Replacement,2050,,30
Formula 1 Nutritional Shake Mix - Masala Chai (500g),Meal Replacement,2050,,30
Formula 1 Express Bar - Chocolate Peanut,Meal Replacement,220,,3
Formula 1 Express Bar - Cookies & Cream,Meal Replacement,220,,3
Protein Drink Mix - Vanilla (588g),Protein,3300,,46
Protein Drink Mix - Chocolate (588g),Protein,3300,,46
Personalized Protein Powder (240g),Protein,1650,,26
Afresh Energy Drink Mix - Lemon (102g),Energy & Fitness,1200,,14
Afresh Energy Drink Mix - Peach (102g),Energy & Fitness,1050,,14
Afresh Energy Drink Mix - Cranberry (102g),Energy & Fitness,1050,,14
Afresh Energy Drink Mix - Tulsi Lime (102g),Energy & Fitness,1050,,14
Afresh Energy Drink Mix - Apple (102g),Energy & Fitness,1050,,14
Hydrate - Citrus Flash (20 sachets),Energy & Fitness,1400,,19
Liftoff - Lemon Lime,Energy & Fitness,100,,1.5
CR7 Drive - Fruit Punch,Energy & Fitness,1400,,19
H24 Rebuild Strength - Chocolate (1040g),Sports Nutrition,4000,,56
H24 Rebuild Strength - Vanilla (1040g),Sports Nutrition,4000,,56
H24 Achieve - Chocolate (780g),Sports Nutrition,3500,,49
Multivitamin & Mineral,Wellness,1850,,24
Formula 2 Multivitamin Complex (90 tablets),Wellness,1850,,24
Formula 3 Cell Activator (90 capsules),Wellness,2100,,29
Herbalifeline Max (30 softgels),Wellness,2500,,35
Schizandra Plus (90 tablets),Wellness,1900,,27
Niteworks (180g),Wellness,3200,,45
Beta Heart (210g),Wellness,2800,,39
Garden 7 (30 tablets),Wellness,2200,,31
RoseOx (60 tablets),Wellness,1800,,25
Aloe Concentrate - Mango (473ml),Digestive Health,1750,,25
Aloe Concentrate - Original (473ml),Digestive Health,1750,,25
Herbal Aloe Drink - Mango (1L),Digestive Health,2200,,31
Herbal Aloe Drink - Original (1L),Digestive Health,2200,,31
Active Fiber Complex - Natural (204g),Digestive Health,1650,,23
Active Fiber Complex - Orange (204g),Digestive Health,1650,,23
Herbal Tea Concentrate - Original (100g),Weight Management,1850,,26
Herbal Tea Concentrate - Lemon (100g),Weight Management,1850,,26
Herbal Tea Concentrate - Raspberry (100g),Weight Management,1850,,26
Herbal Tea Concentrate - Peach (100g),Weight Management,1850,,26
Herbal Tea Concentrate - Cinnamon (100g),Weight Management,1850,,26
Total Control (90 tablets),Weight Management,2100,,30
NRG Tea - Original (60g),Weight Management,1100,,16
Outer Nutrition Hydrating Toner,Skin Care,1900,,27
Outer Nutrition Energizing Face Wash,Skin Care,1500,,21
SKIN Activating Serum,Skin Care,3500,,49
SKIN Hydrating Eye Cream,Skin Care,3200,,45
SKIN Replenishing Night Cream,Skin Care,3000,,42
SKIN Energizing Moisturizer SPF 15,Skin Care,2800,,39
